(node:19596) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/Users/Administrator/Desktop/Nueva%20carpeta/-CODIGOS%20WEBS-/028import%20-%20Oficial/028-import-oficial/src/lib/firebaseAdmin.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\Users\Administrator\Desktop\Nueva carpeta\-CODIGOS WEBS-\028import - Oficial\028-import-oficial\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
185 productos con foto (excluidos los borrados).
179 imágenes distintas para descargar.

[1/179] OK  306KB  BAJA SPLASH
[2/179] FALLA  https://i.postimg.cc/K8F5FS5D/SCARY-BERRY.png: fetch failed
[3/179] OK  243KB  SOUR LUSH GUMMY
[4/179] OK  261KB  STRAWBERRY DRAGON FRUIT
[5/179] FALLA  https://i.postimg.cc/7Lt1gCrC/STRAWBERRY-ICE.png: fetch failed
[6/179] OK  64KB  STRAWBERRY WATERMELON
[7/179] OK  288KB  SUMMER SPLASH
[8/179] OK  95KB  TIGERS BLOOD
[9/179] OK  81KB  WATERMELON ICE
[10/179] OK  78KB  PEACH
[11/179] OK  104KB  SAKURA GRAPE
[12/179] OK  93KB  GRAPE PEACH 
[13/179] OK  703KB  PINEAPPLE 
[14/179] OK  803KB  WATERMELON ICE
[15/179] OK  882KB  TORCH 6G
[16/179] OK  1012KB  BLUEBERRY 
[17/179] OK  1116KB  HAWAIIAN SLUSH
[18/179] OK  1147KB  NEON TWIST
[19/179] OK  1128KB  PASSION FLASH 
[20/179] OK  766KB  SHROOMZ 8G MUSHROOM
[21/179] OK  857KB  DOZO LIVE ROSIN 2.5G
[22/179] OK  717KB  STRIKE 5G
[23/179] FALLA  https://i.postimg.cc/zfS8PsQG/image.png: This operation was aborted
[24/179] FALLA  https://i.ibb.co/0LY3fJK/image.png: This operation was aborted
[25/179] OK  668KB  STRAWBERRY ICE
[26/179] OK  727KB  PINEAPPLE POM, PINEAPPLE POM
[27/179] OK  650KB  GRAPE TWIST, GRAPE TWIST 
[28/179] OK  662KB   STRAWBERRY KIWI  , STRAWBERRY KIWI
[29/179] OK  599KB  GREEN APPLE ICE
[30/179] OK  490KB  MANGO ICE - PASSION FRUIT GUAVA 
[31/179] OK  665KB  GRAPE ICE - STRAWBERRY
[32/179] OK  518KB  GRAPE POP - PEACH ICE
[33/179] OK  571KB  ICE MINT - GRAPE PEACH
[34/179] OK  556KB  CHERRY ICE - WATERMELON ICE
[35/179] OK  304KB  LABUBU
[36/179] OK  784KB  COCONUT PASSION 
[37/179] OK  872KB  AQUA KISS
[38/179] OK  796KB  ROMANTIC 
[39/179] OK  797KB  TEMPTATION 
[40/179] OK  829KB  MIDNIGHT BLOOM
[41/179] OK  356KB  AIRPODS PRO GEN 4
[42/179] OK  106KB  CARGADOR 40W
[43/179] OK  976KB  GHOST 7G
[44/179] OK  1343KB  WILD BERRY SLUSH
[45/179] OK  1360KB  TRIPLE BERRY 
[46/179] OK  982KB  BLUEBERRY STRAWBERRY COCONUT
[47/179] OK  979KB  GRAPE ICE
[48/179] OK  1006KB  WATERMELON MIX
[49/179] OK  1085KB  BLUEBERRY ICE
[50/179] OK  1043KB  PINEAPPLE MANGO
[51/179] OK  1023KB  PEACH MANGO
[52/179] OK  1080KB  STRAWBERRY KIWI
[53/179] OK  1188KB  STRAWBERRY ICE
[54/179] OK  1044KB  BLUEBERRY STRAWBERRY COCONUT
[55/179] OK  1038KB  CAPSULAS 028 - LA MEJOR
[56/179] OK  822KB  STANLEY
[57/179] OK  1000KB  PASSION FRUIT SOUR KIWI - PINEAPPLE
[58/179] OK  1280KB  PINEAPPLE MANGO ICE - STRAWBERRY ICE
[59/179] OK  1100KB  BANANA ICE - STRAWBERRY ICE
[60/179] OK  1081KB  WATERMELON ICE - GRAPE ICE
[61/179] OK  1117KB  PEACH WATERMELON ICE - MANGO ICE
[62/179] OK  1162KB  ORANGE ICE - STRAWBERRY ICE
[63/179] OK  1284KB  BLUEBERRY ICE - RASPBERRY BLACKBERRY
[64/179] OK  1205KB  TROPICAL BAJA , TROPICAL BAJA
[65/179] OK  1289KB  KIWI PASSION FRUIT GUAVA
[66/179] OK  1364KB  AMERICANO ICE
[67/179] OK  1269KB  MANGO MAGIC 
[68/179] OK  1337KB  WATERMELON PEACH FROST, WATERMELON PEACH FROST 
[69/179] OK  1329KB  TRIPLE BERRY
[70/179] OK  1365KB  BLUE RAZZ ICE
[71/179] OK  2233KB  STANLEY + LABUBU 
[72/179] OK  2035KB  AIRPOD GEN 2 + STANLEY 
[73/179] OK  1909KB  CARGADOR 35W + CABLE
[74/179] OK  2054KB  AIRPOD GEN 2 + CARGADOR 35W + CABLE
[75/179] OK  2729KB  WATERMELON ICE, WATERMELON ICE
[76/179] OK  2199KB  BATERIA PEN - MAX
[77/179] OK  2091KB  PEN + CAPSULA (028 )
[78/179] OK  1043KB  CAPSULA - BLOW REAL HONEY 100% LIVE ROSIN
[79/179] OK  2089KB  AL HARAMAIN AMBER OUD AQUA EDITION
[80/179] OK  2334KB  LIQUID BRUN
[81/179] OK  2094KB  ARMAF ODYSSEY AQUA EDITION
[82/179] OK  2465KB  RASASI HAWAS FIRE
[83/179] OK  2315KB  FRENCH AVENUE VULCAN FEU (BLUE EDITION)
[84/179] OK  2416KB  FRENCH AVENUE VULCAN FEU (BROWN EDITION)
[85/179] OK  2417KB  ELFTHC 3G
[86/179] OK  2173KB  ELFTHC 1G
[87/179] OK  2671KB  BLACKBERRY GRAPE
[88/179] OK  2663KB  GOLDEN BERRY 
[89/179] OK  2473KB  AURORA BERRIES 
[90/179] OK  2523KB  SOUR APPLE ICE
[91/179] OK  2550KB  GRAPE ICE
[92/179] OK  2342KB  SUMO HALF BAKD 5G
[93/179] OK  2254KB  SOUR LUSH GUMMY
[94/179] OK  2379KB  CHERRY STRAZZ 
[95/179] OK  2475KB  WATERMELON ICE
[96/179] OK  2290KB  ELF LOVE
[97/179] OK  2575KB  STRAWBERRY ICE
[98/179] OK  2574KB  PINEAPPLE MANGO
[99/179] OK  2352KB  DRAGON STRAWNANA
[100/179] OK  2484KB  MIAMI MINT 
[101/179] OK  2273KB  GREEN APPLE ICE
[102/179] OK  2323KB  ACAI BANANA ICE
[103/179] OK  2481KB  PINK LEMONADE
[104/179] OK  2189KB  HONOR & GLORY — LATTAFA
[105/179] OK  2190KB  BHARARA KING
[106/179] OK  1933KB  9PM
[107/179] OK  2243KB  AMBER OUD GOLD EDITION — AL HARAMAIN
[108/179] OK  2226KB  YARA — LATTAFA
[109/179] OK  2217KB  💛 ECLAIRE — LATTAFA
[110/179] OK  1729KB  CARGADOR ORIGINAL 20W
[111/179] OK  2202KB  PINNEAPLE
[112/179] OK  2279KB  PEACH MANGO WATERMELON
[113/179] OK  2198KB  MANGO MAGIC
[114/179] OK  2292KB  FANTA GRAPE
[115/179] OK  2267KB  COCONUT STRAWBERRY ICE
[116/179] OK  2109KB  BUBBALOO TUTTI FRUTI
[117/179] OK  2287KB  BLUEBERRY
[118/179] OK  2152KB  MENTHOL
[119/179] OK  1351KB  FRIZZY PEACH
[120/179] OK  1238KB  CHERRY BLAST
[121/179] OK  1299KB  GROOVE GRAPE PASSION FRUIT
[122/179] OK  1458KB  MIAMI MINT
[123/179] OK  1519KB  MEXICO MANGO
[124/179] OK  1184KB  ELECTRIC FRUIT BLAST
[125/179] OK  1455KB   PINEAPPLE
[126/179] OK  1554KB  SIC STRAWBERRY
[127/179] OK  1477KB  GRAPE PASSION
[128/179] OK  1392KB   TRIPLE BERRY
[129/179] OK  1014KB  TORCH 3.5G
[130/179] OK  1124KB  TORCH 5G
[131/179] OK  2267KB  CÁPSULAS COOKIES 
[132/179] OK  2375KB  BATERIA PEN - ELFTHC
