(node:3736) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/Users/Administrator/Desktop/Nueva%20carpeta/-CODIGOS%20WEBS-/028import%20-%20Oficial/028-import-oficial/src/lib/firebaseAdmin.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\Users\Administrator\Desktop\Nueva carpeta\-CODIGOS WEBS-\028import - Oficial\028-import-oficial\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
179 imágenes distintas para revisar.

[1/179] OK  306KB -> 84KB  BAJA SPLASH
[2/179] OK  265KB -> 71KB  SCARY BERRY
[3/179] OK  243KB -> 60KB  SOUR LUSH GUMMY
[4/179] OK  261KB -> 69KB  STRAWBERRY DRAGON FRUIT
[5/179] OK  256KB -> 71KB  STRAWBERRY ICE
[6/179] ya está liviana (64KB)  STRAWBERRY WATERMELON
[7/179] OK  288KB -> 77KB  SUMMER SPLASH
[8/179] ya está liviana (95KB)  TIGERS BLOOD
[9/179] ya está liviana (81KB)  WATERMELON ICE
[10/179] ya está liviana (78KB)  PEACH
[11/179] ya está liviana (104KB)  SAKURA GRAPE
[12/179] ya está liviana (93KB)  GRAPE PEACH 
[13/179] OK  703KB -> 199KB  PINEAPPLE 
[14/179] OK  803KB -> 181KB  WATERMELON ICE
[15/179] OK  882KB -> 287KB  TORCH 6G
[16/179] OK  1012KB -> 259KB  BLUEBERRY 
[17/179] OK  1116KB -> 215KB  HAWAIIAN SLUSH
[18/179] OK  1147KB -> 221KB  NEON TWIST
[19/179] OK  1128KB -> 217KB  PASSION FLASH 
[20/179] OK  766KB -> 191KB  SHROOMZ 8G MUSHROOM
[21/179] OK  857KB -> 203KB  DOZO LIVE ROSIN 2.5G
[22/179] OK  717KB -> 210KB  STRIKE 5G
[23/179] OK  589KB -> 151KB  PACKMAN 2G DUAL TANK
[24/179] OK  664KB -> 214KB  MIAMI MINT 
[25/179] OK  668KB -> 205KB  STRAWBERRY ICE
[26/179] OK  727KB -> 227KB  PINEAPPLE POM
[27/179] OK  650KB -> 196KB  GRAPE TWIST
[28/179] OK  662KB -> 201KB   STRAWBERRY KIWI  
[29/179] OK  599KB -> 194KB  GREEN APPLE ICE
[30/179] OK  490KB -> 131KB  MANGO ICE - PASSION FRUIT GUAVA 
[31/179] OK  665KB -> 204KB  GRAPE ICE - STRAWBERRY
[32/179] OK  518KB -> 165KB  GRAPE POP - PEACH ICE
[33/179] OK  571KB -> 166KB  ICE MINT - GRAPE PEACH
[34/179] OK  556KB -> 177KB  CHERRY ICE - WATERMELON ICE
[35/179] OK  304KB -> 107KB  LABUBU
[36/179] OK  784KB -> 281KB  COCONUT PASSION 
[37/179] OK  872KB -> 283KB  AQUA KISS
[38/179] OK  796KB -> 267KB  ROMANTIC 
[39/179] OK  797KB -> 266KB  TEMPTATION 
[40/179] OK  829KB -> 279KB  MIDNIGHT BLOOM
[41/179] OK  356KB -> 160KB  AIRPODS PRO GEN 4
[42/179] ya está liviana (106KB)  CARGADOR 40W
[43/179] OK  976KB -> 351KB  GHOST 7G
[44/179] OK  1343KB -> 333KB  WILD BERRY SLUSH
